problem,length,solver,run,fitness,evaluations
DeceptiveStepTrap,14,Hill Climber,0,1,33194
DeceptiveStepTrap,14,Hill Climber,1,1,120971
DeceptiveStepTrap,14,Hill Climber,2,1,914
DeceptiveStepTrap,14,Hill Climber,3,1,75906
DeceptiveStepTrap,14,Hill Climber,4,1,43175
DeceptiveStepTrap,14,Hill Climber,5,1,82525
DeceptiveStepTrap,14,Hill Climber,6,1,25819
DeceptiveStepTrap,14,Hill Climber,7,1,44368
DeceptiveStepTrap,14,Hill Climber,8,1,490
DeceptiveStepTrap,14,Hill Climber,9,1,351027
DeceptiveStepTrap,14,Hill Climber,10,1,10652
DeceptiveStepTrap,14,Hill Climber,11,1,148289
DeceptiveStepTrap,14,Hill Climber,12,1,186043
DeceptiveStepTrap,14,Hill Climber,13,1,183290
DeceptiveStepTrap,14,Hill Climber,14,1,2995
DeceptiveStepTrap,14,Hill Climber,15,1,8058
DeceptiveStepTrap,14,Hill Climber,16,1,46319
DeceptiveStepTrap,14,Hill Climber,17,1,6153
DeceptiveStepTrap,14,Hill Climber,18,1,219047
DeceptiveStepTrap,14,Hill Climber,19,1,1916
DeceptiveStepTrap,14,Hill Climber,20,1,200547
DeceptiveStepTrap,14,Hill Climber,21,1,75196
DeceptiveStepTrap,14,Hill Climber,22,1,12489
DeceptiveStepTrap,14,Hill Climber,23,1,85010
DeceptiveStepTrap,14,Hill Climber,24,1,47257
DeceptiveStepTrap,14,Hill Climber,25,1,23719
DeceptiveStepTrap,14,Hill Climber,26,1,119875
DeceptiveStepTrap,14,Hill Climber,27,1,297798
DeceptiveStepTrap,14,Hill Climber,28,1,3603
DeceptiveStepTrap,14,Hill Climber,29,1,301009
DeceptiveStepTrap,14,Hill Climber,30,1,245171
DeceptiveStepTrap,14,Hill Climber,31,1,6009
DeceptiveStepTrap,14,Hill Climber,32,1,137744
DeceptiveStepTrap,14,Hill Climber,33,1,39212
DeceptiveStepTrap,14,Hill Climber,34,1,57645
DeceptiveStepTrap,14,Hill Climber,35,1,13114
DeceptiveStepTrap,14,Hill Climber,36,1,71742
DeceptiveStepTrap,14,Hill Climber,37,1,70675
DeceptiveStepTrap,14,Hill Climber,38,1,21239
DeceptiveStepTrap,14,Hill Climber,39,1,19121
DeceptiveStepTrap,14,Hill Climber,40,1,110297
DeceptiveStepTrap,14,Hill Climber,41,1,70926
DeceptiveStepTrap,14,Hill Climber,42,1,139748
DeceptiveStepTrap,14,Hill Climber,43,1,50965
DeceptiveStepTrap,14,Hill Climber,44,1,48029
DeceptiveStepTrap,14,Hill Climber,45,1,41278
DeceptiveStepTrap,14,Hill Climber,46,1,67716
DeceptiveStepTrap,14,Hill Climber,47,1,73004
DeceptiveStepTrap,14,Hill Climber,48,1,50144
DeceptiveStepTrap,14,Hill Climber,49,1,34683
DeceptiveStepTrap,14,Hill Climber,50,1,133768
DeceptiveStepTrap,14,Hill Climber,51,1,9416
DeceptiveStepTrap,14,Hill Climber,52,1,146844
DeceptiveStepTrap,14,Hill Climber,53,1,208753
DeceptiveStepTrap,14,Hill Climber,54,1,49905
DeceptiveStepTrap,14,Hill Climber,55,1,130606
DeceptiveStepTrap,14,Hill Climber,56,1,309320
DeceptiveStepTrap,14,Hill Climber,57,1,305737
DeceptiveStepTrap,14,Hill Climber,58,1,38888
DeceptiveStepTrap,14,Hill Climber,59,1,6438
DeceptiveStepTrap,14,Hill Climber,60,1,30346
DeceptiveStepTrap,14,Hill Climber,61,1,19114
DeceptiveStepTrap,14,Hill Climber,62,1,26047
DeceptiveStepTrap,14,Hill Climber,63,1,15372
DeceptiveStepTrap,14,Hill Climber,64,1,13037
DeceptiveStepTrap,14,Hill Climber,65,1,191713
DeceptiveStepTrap,14,Hill Climber,66,1,361824
DeceptiveStepTrap,14,Hill Climber,67,1,92743
DeceptiveStepTrap,14,Hill Climber,68,1,105966
DeceptiveStepTrap,14,Hill Climber,69,1,63301
DeceptiveStepTrap,14,Hill Climber,70,1,10818
DeceptiveStepTrap,14,Hill Climber,71,1,1213
DeceptiveStepTrap,14,Hill Climber,72,1,2717
DeceptiveStepTrap,14,Hill Climber,73,1,159961
DeceptiveStepTrap,14,Hill Climber,74,1,340481
DeceptiveStepTrap,14,Hill Climber,75,1,202349
DeceptiveStepTrap,14,Hill Climber,76,1,181978
DeceptiveStepTrap,14,Hill Climber,77,1,34708
DeceptiveStepTrap,14,Hill Climber,78,1,35853
DeceptiveStepTrap,14,Hill Climber,79,1,99136
